NOACW, 386.72601318359375
OTECW, 356.9778747558594
CSCW, 356.9778747558594
BCACW, 331.47943115234375
OSTRW, 309.38079833984375
ALTUW, 309.38079833984375
COOLW, 309.38079833984375
BRQS, 244.24801635742188
NLSPW, 244.24801635742188
CTAQW, 244.24801635742188
SCOAW, 244.24801635742188
IIIIW, 244.24801635742188
MOHO, 244.24801635742188
PTICW, 210.9414520263672
GNCA, 210.9414520263672
BENER, 193.36300659179688
ACRX, 185.62847900390625
ITRM, 185.62847900390625
MYSZ, 185.62847900390625
LUXAW, 165.73971557617188
SIOX, 160.02456665039062
SECO, 145.0222625732422
HMCOW, 128.90867614746094
BTB, 122.12400817871094
AKBA, 116.47054290771484
HAACW, 116.01780700683594
BENEW, 110.49314880371094
LILMW, 105.4707260131836
GRNQ, 100.88504791259766
LTCHW, 97.36726379394531
CFMS, 94.70840454101562
GRABW, 89.24446868896484
GBS, 75.89981842041016
VERB, 72.5111312866211
MINM, 71.74198150634766
STAF, 70.23217010498047
RETO, 56.594051361083984
SLHG, 55.339908599853516
SPPI, 55.10453414916992
TLSA, 53.96176528930664
IPDN, 53.34151840209961
CTIB, 53.34151840209961
ZNTEW, 51.563472747802734
GMVD, 51.296138763427734
WATT, 50.44252395629883
USWS, 49.578392028808594
AHG, 47.35420227050781
COSM, 47.32594299316406
DRTT, 47.25185775756836
DRUG, 46.07050704956055
SREV, 45.49717712402344
ACST, 43.40517044067383
MDNA, 42.575340270996094
EVOL, 42.18829345703125
CBAT, 41.60862731933594
SGRP, 41.0682487487793
AACG, 40.708003997802734
SSKN, 40.006141662597656
VINO, 38.32012176513672
MMAT, 38.21468734741211
EDTK, 38.03862380981445
STCN, 37.729366302490234
EVK, 36.83104705810547
BLRX, 36.54104232788086
ADIL, 34.89257049560547
CCLP, 33.62834930419922
JZXN, 33.04280090332031
CTHR, 32.9128532409668
BTCY, 32.9128532409668
LTRPA, 32.9128532409668
GALT, 31.78569984436035
VBLT, 30.134496688842773
DCGOW, 29.748157501220703
NUZE, 29.37159538269043
PSTI, 29.37159538269043
RCRT, 29.21670913696289
MCHX, 27.956098556518555
YGMZ, 27.956098556518555
DWSN, 26.670759201049805
CLPS, 26.670759201049805
CETXP, 26.518354415893555
PAYS, 26.518354415893555
VRPX, 25.56045150756836
AGFS, 25.498416900634766
REAX, 25.084930419921875
ETTX, 25.084930419921875
PRSO, 24.38487434387207
MDWD, 24.29692268371582
RCAT, 23.16176986694336
QUBT, 22.393978118896484
ZEST, 22.22410011291504
XTLB, 22.098630905151367
EYEN, 21.49587059020996
DHC, 21.287670135498047
HGSH, 20.77961540222168
DGHI, 20.717464447021484
PALT, 20.354001998901367
LLL, 20.354001998901367
PMCB, 19.99486541748047
MCLD, 19.097579956054688
ABVC, 18.864683151245117
MNDO, 18.562849044799805
HTOOW, 18.27052116394043
ARTW, 17.98725700378418
SMSI, 16.83196449279785
HCDI, 16.81417465209961
IPHA, 16.81417465209961
DTSS, 16.365304946899414
CXDO, 15.779328346252441
SJ, 14.876462936401367
PPBT, 14.191781044006348
DSWL, 13.569334030151367
GSIT, 13.259177207946777
IRIX, 12.977272033691406
ANIX, 12.714280128479004
PPSI, 12.679540634155273
GURE, 12.475032806396484
ASRV, 12.368404388427734
PPTA, 12.342081069946289
ACXP, 11.96059799194336
TROO, 11.726675033569336
FCRD, 11.630857467651367
CAN, 11.31881046295166
LFVN, 11.263864517211914
PCTI, 11.209449768066406
HNRG, 11.146272659301758
AVDL, 11.102182388305664
ELTK, 11.025729179382324
USEG, 10.992293357849121
OPHC, 10.792352676391602
QIPT, 10.619478225708008
CHCI, 10.475648880004883
WHLM, 10.345500946044922
ICMB, 9.958609580993652
DOGZ, 9.896254539489746
KMDA, 9.470841407775879
WVVIP, 9.356274604797363
VSTA, 9.3006591796875
ELSE, 9.30002498626709
SMIT, 9.281424522399902
KINS, 9.11731243133545
VMD, 8.890253067016602
OXBR, 8.856321334838867
BON, 8.779050827026367
BBCP, 8.590163230895996
HFFG, 8.530720710754395
LYRA, 8.028913497924805
OPT, 7.987456798553467
CODA, 7.879641532897949
PFIN, 7.839040279388428
SNPX, 7.7997894287109375
BRFH, 7.752841949462891
ASUR, 7.67059850692749
SIRI, 7.64532470703125
LMB, 7.6271185874938965
CRWS, 7.6202168464660645
PUYI, 7.617580890655518
PMD, 7.308207988739014
RFIL, 7.251112937927246
COGT, 7.117656707763672
NHTC, 7.0308027267456055
CCEL, 7.009749889373779
DALN, 6.999565601348877
RVSB, 6.916113376617432
ONDS, 6.834627628326416
STGW, 6.784667015075684
KFFB, 6.764975070953369
ADSE, 6.690237045288086
HYW, 6.610701084136963
SATL, 6.562227725982666
RDBX, 6.4995808601379395
DCGO, 6.4543657302856445
ENOB, 6.452112674713135
RTL, 6.374604225158691
ISSC, 6.362320423126221
SIGA, 6.301281452178955
EPSN, 6.261778831481934
FEIM, 6.106200218200684
TH, 6.097450256347656
GPRO, 5.964337348937988
UBFO, 5.919275283813477
MARPS, 5.848236560821533
FNCB, 5.80414342880249
BKEPP, 5.6869940757751465
GGAL, 5.644707202911377
BROG, 5.518088340759277
USAP, 5.475916862487793
ASYS, 5.446845054626465
RSVR, 5.340290546417236
TOI, 5.267550468444824
AKIC, 5.12051248550415
AEAC, 5.104456901550293
ASTL, 5.088500499725342
MACA, 5.053030014038086
IGNY, 5.050446033477783
NAAC, 5.041158676147461
OCAX, 5.031444072723389
EAC, 5.014456748962402
HYAC, 4.9925384521484375
BLTS, 4.99252462387085
WALD, 4.985507965087891
